subject,semester,notebook.id,notebook.title,notebook.description,notebook.video.title,notebook.video.link,notebook.career.title,notebook.career.link,notebook.detailsLink,notebook.mathSkill,notebook.image,,notebook.movie.title,notebook.movie.link
MB,1,1,Introduction to Marine Biology,Description 1,Archimedes� principle ,http://ed.ted.com/lessons/mark-salata-how-taking-a-bath-led-to-archimedes-principle,Jacques-Yves Cousteau,http://www.biography.com/people/jacques-cousteau-9259496,notebook details link 1,math skill 1,lroberts-scotts03.jpg,,The Water Planet ,https://www.youtube.com/watch?v=vrCCnDmcaKk
MB,1,2,Marine Scientists at Work,"Students will learn about NGSS Engineering &b Design HS-ETS1.3, HS-ETS1.4  - The Scientific Method, Scientific Tools & Measurements, Types of Microscopes ",The Scientific Method Bozeman Science,http://www.youtube.com/watch?v=GKGtkzgKfkc  ,Ruth Dixon Turner ,http://sciencenetwork.com/turner/rdt-bio.html,notebook details link 2,math skill 2,lroberts-scotts03.jpg,,Introduction to the Microscope ,https://www.youtube.com/watch?v=ZYNThPzh03c
MB,1,3,Marine Environments Part 1,Description 3,The Intertidal Biome,http://youtu.be/u64ppKBY3cM,Kate Zultner ,http://www.marinecareers.net/kate-zultner,notebook details link 3,math skill 3,lroberts-scotts03.jpg,,Life in the Deep Dark Seas ,http://youtu.be/5yOtEZLVKa0
MB,1,4,Marine Environments Part 2,Description 4,What is a Saltwater Marsh?�,https://www.youtube.com/watch?v=mHXVSF71a4Y&feature=youtu.be,Janet Nestlerode,http://www.marinecareers.net/janet-nestlerode,notebook details link 4,math skill 4,lroberts-scotts03.jpg,,The Savage World of the Coral Jungle,http://youtu.be/7AIWsz75MsE
MB,1,5,Unicellular Marine Organisms� Part 1,Description 5,Tree of Life Animation - Three Domains ,http://glencoe.mcgraw-hill.com/sites/9834092339/student_view0/chapter26/animation_-_three_domains.html,Deborah Bouchard ,http://marinecareers.net/profile_detail.php?id_prof=22,notebook details link 5,math skill 5,lroberts-scotts03.jpg,,Microbial Universe ,http://www.learner.org/vod/vod_window.html?pid=1363
MB,1,6,Unicellular Organisms  Part 2,Description 6,The wacky history of cell theory ,http://ed.ted.com/lessons/the-wacky-history-of-cell-theory,Anotony Van Leeuwenhoek  ,https://www.famousscientists.org/antonie-van-leeuwenhoek/,notebook details link 6,math skill 6,lroberts-scotts03.jpg,,Unity of Living Systems,http://learner.org/vod/vod_window.html?pid=1364
MB,1,7,Marine Algae & Plants Part 1,Description 7,Alteration of generations in a protist ulva ,http://wps.prenhall.com/wps/media/objects/488/499858/CDA27_1/CDA27_1a/CDA27_1a.htm,Heather Spalding ,http://www.thewildclassroom.com/biomes/scientistprofile/abyssal.html,notebook details link 7,math skill 7,lroberts-scotts03.jpg,,M&M Giant kelp episode one,https://www.youtube.com/watch?v=cVfB4DtCR7U
MB,1,8,Marine Algae & Plants Part 2     ,Description 8,Mangrove Forests ,http://youtu.be/1EXSWc9d1WY,Monique LaFrance ,https://www.marinecareers.net/monique-lafrance,notebook details link 8,math skill 8,lroberts-scotts03.jpg,,Giant Kelp Episode 2,https://www.youtube.com/watch?v=53QJHXPrk08
MB,1,9,Intro to Marine Animals Part 1,Description 9,Secret life of plankton ,http://www.youtube.com/watch?v=xFQ_fO2D7f0,Alejandro  Almario ,http://www.marinecareers.net/alejandro-alex-e-almario,notebook details link 9,math skill 9,lroberts-scotts03.jpg,,Plankton Episode  ,http://youtu.be/aJ_qmQ88-wU  
MB,1,10,Simple marine animals Part 2,Description 10,The shape of life sponges origins,http://shapeoflife.org/video/sponges-origins,Jonathan Bird ,https://www.marinecareers.net/jonathan-bird,notebook details link 10,math skill 10,lroberts-scotts03.jpg,,The World of Protozoa,http://youtu.be/Fkf54VVI8Po   
